kind,a,b,c,d,e,f,g,h,i
btb_header,spacing,n,cycles_per_branch,mis_per_branch,l1i_refill_per_branch,stall_frontend_per_branch,itlb_walk_per_branch
nbr,16,1536,0.15604,3.2142,0.00036
nbr,16,2048,0.28056,4.4480,0.00055
nbr,16,3072,0.19663,3.6135,0.00074
nbr,16,4096,0.20847,3.7387,0.00222
nbr,16,6144,0.17722,4.1800,0.25018
nbr,16,8192,0.30582,4.7626,0.25021
nbr,16,12288,0.40515,5.3474,0.25025
nbr,16,16384,0.46610,5.8470,0.25019
ind_rr_header,t,mis_per_branch,cycles_per_branch
ind_rr,1,0.00003,3.0067
ind_rr,2,0.00003,6.0023
ind_rr,3,0.00003,6.0023
ind_rr,4,0.00005,6.0025
ind_rr,6,0.00005,6.0025
ind_rr,8,0.00003,6.0025
ind_rr,12,0.00003,6.0027
ind_rr,16,0.00003,6.1384
ind_rr,24,0.00003,6.9317
ind_rr,32,0.00003,7.0034
ind_rr,48,0.02095,7.3179
ind_rr,64,0.67043,16.8142
ind_rr,96,0.70827,18.1140
ind_rr,128,0.83589,20.1645
ind_rr,192,0.88540,21.1640
ind_rr,256,0.89452,21.2518
ind_rr,384,0.93731,22.0434
ind_rr,512,0.94527,22.1437
ind_rr,768,0.96726,22.4816
ind_rr,1024,0.97372,22.5973
ind_rr,2048,0.98848,23.0368
ind_rand_header,p,mis_per_branch,cycles_per_branch
ind_rand,16,0.00005,6.0028
ind_rand,32,0.00003,6.0031
ind_rand,64,0.00003,6.0033
ind_rand,128,0.00008,6.0354
ind_rand,256,0.00008,6.0549
ind_rand,512,0.00021,6.0562
ind_rand,1024,0.00217,6.0958
ind_rand,2048,0.01781,6.3337
ind_rand,4096,0.38783,11.8943
ind_rand,8192,0.76930,17.6182
ind_rand,16384,0.91003,19.7298
ind_rand,32768,0.93484,20.1036
ras_header,variant,depth,mis_per_iter,cycles_per_iter,cycles_per_call_return,excess_mis_over_random_sites
ras,chain,1,0.0002,3.010,3.010,0.0002
ras,chain,2,0.0002,5.011,2.506,0.0002
ras,chain,3,0.0002,7.013,2.338,0.0002
ras,chain,4,0.0002,9.012,2.253,0.0002
ras,chain,5,0.0002,11.014,2.203,0.0002
ras,chain,6,0.0002,13.015,2.169,0.0002
ras,chain,7,0.0002,15.016,2.145,0.0002
ras,chain,8,0.0002,23.772,2.971,0.0002
ras,chain,9,0.0002,33.514,3.724,0.0002
ras,chain,10,0.0002,39.215,3.921,0.0002
ras,chain,11,0.0002,43.517,3.956,0.0002
ras,chain,12,0.0002,48.349,4.029,0.0002
ras,chain,13,0.0002,52.216,4.017,0.0002
ras,chain,14,0.0002,56.159,4.011,0.0002
ras,chain,15,0.0002,61.018,4.068,0.0002
ras,chain,16,0.0002,66.017,4.126,0.0002
ras,chain,17,0.0003,71.018,4.178,0.0003
ras,chain,18,0.0004,76.020,4.223,0.0004
ras,chain,19,0.0005,81.022,4.264,0.0005
ras,chain,20,0.0004,86.022,4.301,0.0004
ras,chain,21,0.0005,91.022,4.334,0.0005
ras,chain,22,0.0005,96.022,4.365,0.0005
ras,chain,23,0.0006,101.024,4.392,0.0006
ras,chain,24,0.0006,106.023,4.418,0.0006
ras,chain,25,0.0006,111.025,4.441,0.0006
ras,chain,26,0.0006,116.026,4.463,0.0006
ras,chain,27,0.0007,121.026,4.482,0.0007
ras,chain,28,0.0007,126.028,4.501,0.0007
ras,chain,29,0.0007,131.028,4.518,0.0007
ras,chain,30,0.0008,136.029,4.534,0.0008
ras,chain,31,0.0008,141.032,4.549,0.0008
ras,chain,32,0.0007,146.031,4.563,0.0007
ras,chain,33,0.0007,151.032,4.577,0.0007
ras,chain,34,0.0008,156.032,4.589,0.0008
ras,chain,35,0.0009,161.034,4.601,0.0009
ras,chain,36,0.0009,166.033,4.612,0.0009
ras,chain,37,0.0009,171.034,4.623,0.0009
ras,chain,38,0.0009,176.035,4.633,0.0009
ras,chain,39,0.0009,181.035,4.642,0.0009
ras,chain,40,0.0009,190.080,4.752,0.0009
ras,chain,44,0.0013,238.373,5.418,0.0013
ras,chain,48,0.0015,264.042,5.501,0.0015
ras,chain,56,0.0017,310.300,5.541,0.0017
ras,chain,64,0.0022,353.290,5.520,0.0022
ras,chain,80,0.0030,442.095,5.526,0.0030
ras,chain,96,0.0047,530.123,5.522,0.0047
ras,chain,128,0.0052,706.153,5.517,0.0052
ras,random_sites,1,0.0002,3.017,3.017,0.0002
ras,random_sites,2,0.4988,13.802,6.901,-0.0012
ras,random_sites,3,0.9874,22.922,7.641,-0.0126
ras,random_sites,4,1.4950,32.393,8.098,-0.0050
ras,random_sites,5,1.9921,44.098,8.820,-0.0079
