kind,a,b,c,d,e,f,g,h,i,j,k
stride_header,region,stride_lines,ns,cycles,ratio_vs_random,l1r,l2r,l3r,llmiss,bus,walk
cold,load,8,48,516.031,15.789,63.844,28.469,63.844
cold,load,8,64,646.469,16.094,80.070,39.102,80.070
cold,load,8,96,903.906,16.273,112.219,63.008,112.219
cold,load,8,128,1162.781,16.633,144.398,82.852,144.398
cold,load,8,192,1674.719,16.625,208.469,126.750,208.469
cold,load,8,256,2187.062,16.668,272.484,170.508,272.484
cold,load,16,1,14.188,0.000,1.016,1.672,1.016
cold,load,16,2,21.500,-0.086,1.984,2.648,1.984
cold,load,16,3,29.594,-0.074,2.977,3.641,2.977
cold,load,16,4,37.344,-0.105,3.953,4.648,3.953
cold,load,16,6,103.344,6.145,11.859,8.359,11.859
cold,load,16,8,69.312,-0.109,7.961,8.711,7.961
cold,load,16,12,101.875,-0.039,12.000,12.625,12.000
cold,load,16,16,133.406,-0.098,16.008,16.633,16.008
cold,load,16,24,311.219,14.129,35.031,19.352,35.031
cold,load,16,32,385.531,15.418,47.320,19.352,47.320
cold,load,16,48,516.750,15.820,63.445,25.328,63.445
cold,load,16,64,648.094,16.238,79.883,32.969,79.883
cold,load,16,96,905.438,16.406,112.141,44.039,112.141
cold,load,16,128,1161.719,16.441,144.125,56.398,144.125
cold,load,16,192,1680.875,17.336,209.094,82.188,209.094
cold,load,16,256,2192.219,17.254,272.242,103.562,272.242
cold,load,-1,1,15.906,0.000,2.000,2.000,2.000
cold,load,-1,2,21.719,-0.273,2.016,2.656,2.016
cold,load,-1,3,37.812,0.738,4.008,3.094,4.008
cold,load,-1,4,85.875,5.746,10.016,4.148,10.016
cold,load,-1,6,167.906,14.000,19.977,5.117,19.977
cold,load,-1,8,220.000,18.512,26.438,6.398,26.438
cold,load,-1,12,249.031,18.141,30.156,9.000,30.156
cold,load,-1,16,271.531,16.953,32.711,11.750,32.711
cold,load,-1,24,399.750,24.980,48.555,11.055,48.555
cold,load,-1,32,528.156,33.031,63.883,20.195,63.883
cold,load,-1,48,719.656,40.969,88.133,29.109,88.133
cold,load,-1,64,842.938,40.379,103.555,29.906,103.555
cold,load,-1,96,1104.688,41.098,135.773,43.562,135.773
cold,load,-1,128,1352.250,40.043,166.562,68.086,166.562
cold,load,-1,192,1862.781,39.859,230.328,130.766,230.328
cold,load,-1,256,2298.000,30.262,284.547,189.891,284.547
cold,load,-2,1,16.000,0.000,1.414,1.938,1.414
cold,load,-2,2,22.188,-0.227,1.992,2.719,1.992
cold,load,-2,3,37.188,0.648,3.836,3.109,3.836
cold,load,-2,4,78.094,4.762,8.445,5.375,8.445
cold,load,-2,6,114.562,7.320,13.070,6.805,13.070
cold,load,-2,8,145.062,9.133,16.500,8.250,16.500
cold,load,-2,12,217.375,14.172,25.164,13.664,25.164
cold,load,-2,16,259.062,15.383,29.211,15.523,29.211
cold,load,-2,24,321.438,15.180,37.883,15.172,37.883
cold,load,-2,32,383.281,14.910,45.539,19.422,45.539
cold,load,-2,48,517.000,15.625,61.297,23.047,61.297
cold,load,-2,64,643.156,15.395,76.102,30.328,76.102
cold,load,-2,96,901.844,15.730,108.734,60.070,108.734
cold,load,-2,128,1163.219,16.402,140.812,89.773,140.812
cold,load,-2,192,1677.969,16.746,203.641,133.391,203.641
cold,load,-2,256,2188.688,16.586,268.562,190.172,268.562
cold,store,1,1,16.031,0.000,1.828,1.656,1.828
cold,store,1,2,22.625,-0.176,2.141,2.352,2.141
cold,store,1,3,31.812,-0.027,3.188,2.914,3.188
cold,store,1,4,115.125,9.387,13.148,2.680,13.148
cold,store,1,6,146.125,11.262,16.438,2.758,16.438
cold,store,1,8,170.688,12.332,19.375,3.055,19.375
cold,store,1,12,211.156,13.391,23.828,3.312,23.828
cold,store,1,16,228.375,11.543,27.023,2.812,27.023
cold,store,1,24,270.312,8.785,31.789,3.094,31.789
cold,store,1,32,327.438,7.926,38.977,2.891,38.977
cold,store,1,48,455.500,7.934,54.961,3.812,54.961
cold,store,1,64,518.844,-0.148,62.570,2.609,62.570
cold,store,1,96,842.344,8.289,102.570,6.055,102.570
cold,store,1,128,1030.078,-0.244,126.023,5.414,126.023
cold,store,1,192,1542.188,-0.230,189.695,7.438,189.695
cold,store,1,256,2053.688,-0.293,253.922,10.164,253.922
boundary_header,variant,dir,kind,bus_per_stream,extra_lines,ll_per_stream,candidates
boundary,pool/B=4096,asc,ends_at_boundary,271.094,17.195,33.609,97536
boundary,pool/B=4096,asc,crosses_boundary,330.156,24.578,41.094,97536
boundary,pool/B=4096,asc,mid_block,252.906,14.922,31.352,97536
boundary,pool/B=4096,desc,ends_at_boundary,266.562,16.629,33.125,97536
boundary,pool/B=4096,desc,crosses_boundary,330.969,24.680,41.125,97536
boundary,pool/B=4096,desc,mid_block,246.406,14.109,30.516,97536
boundary,pool/B=16384/noncontig,asc,ends_at_boundary,252.531,14.875,31.367,24384
boundary,pool/B=16384/noncontig,asc,crosses_boundary,332.875,24.918,41.422,24384
boundary,pool/B=16384/noncontig,asc,mid_block,322.375,23.605,39.922,24384
boundary,pool/B=16384/noncontig,desc,ends_at_boundary,248.906,14.422,30.977,24384
boundary,pool/B=16384/noncontig,desc,crosses_boundary,332.281,24.844,41.320,24384
boundary,pool/B=16384/noncontig,desc,mid_block,321.531,23.500,39.664,24384
boundary,pool/B=65536/noncontig,asc,ends_at_boundary,245.938,14.051,30.672,6096
boundary,pool/B=65536/noncontig,asc,crosses_boundary,336.250,25.340,41.820,6096
boundary,pool/B=65536/noncontig,asc,mid_block,327.281,24.219,40.672,6096
boundary,pool/B=65536/noncontig,desc,ends_at_boundary,248.938,14.426,30.844,6096
boundary,pool/B=65536/noncontig,desc,crosses_boundary,332.906,24.922,41.453,6096
boundary,pool/B=65536/noncontig,desc,mid_block,320.656,23.391,39.289,6096
boundary,pool/B=2097152/noncontig,asc,ends_at_boundary,235.812,12.785,29.109,254
boundary,pool/B=2097152/noncontig,asc,crosses_boundary,331.344,24.727,40.570,254
boundary,pool/B=2097152/noncontig,asc,mid_block,330.094,24.570,40.031,254
boundary,pool/B=2097152/noncontig,desc,ends_at_boundary,247.969,14.305,30.688,254
boundary,pool/B=2097152/noncontig,desc,crosses_boundary,332.312,24.848,40.672,254
boundary,pool/B=2097152/noncontig,desc,mid_block,341.281,25.969,39.477,254
boundary,cma/B=4096,asc,ends_at_boundary,269.625,17.012,33.422,6120
boundary,cma/B=4096,asc,crosses_boundary,328.500,24.371,40.781,6120
boundary,cma/B=4096,asc,mid_block,247.625,14.262,30.711,6120
boundary,cma/B=4096,desc,ends_at_boundary,264.969,16.430,32.789,6120
boundary,cma/B=4096,desc,crosses_boundary,326.656,24.141,40.531,6120
boundary,cma/B=4096,desc,mid_block,242.281,13.594,30.016,6120
boundary,cma/B=16384,asc,ends_at_boundary,242.781,13.656,30.188,2040
boundary,cma/B=16384,asc,crosses_boundary,325.906,24.047,40.562,2040
boundary,cma/B=16384,asc,mid_block,320.844,23.414,39.391,2040
boundary,cma/B=16384,desc,ends_at_boundary,239.969,13.305,29.719,2040
boundary,cma/B=16384,desc,crosses_boundary,325.312,23.973,40.328,2040
boundary,cma/B=16384,desc,mid_block,312.719,22.398,38.352,2040
boundary,cma/B=65536/phase=0K,asc,ends_at_boundary,245.688,14.020,30.445,510
boundary,cma/B=65536/phase=0K,asc,crosses_boundary,325.531,24.000,40.289,510
boundary,cma/B=65536/phase=0K,asc,mid_block,331.188,24.707,39.211,510
boundary,cma/B=65536/phase=0K,desc,ends_at_boundary,242.688,13.645,30.055,510
boundary,cma/B=65536/phase=0K,desc,crosses_boundary,325.688,24.020,40.258,510
boundary,cma/B=65536/phase=0K,desc,mid_block,339.719,25.773,38.953,510
boundary,cma/B=65536/phase=16K,asc,ends_at_boundary,245.375,13.980,30.406,510
boundary,cma/B=65536/phase=16K,asc,crosses_boundary,323.531,23.750,40.008,510
boundary,cma/B=65536/phase=16K,asc,mid_block,327.875,24.293,39.352,510
boundary,cma/B=65536/phase=16K,desc,ends_at_boundary,237.000,12.934,29.406,510
boundary,cma/B=65536/phase=16K,desc,crosses_boundary,321.906,23.547,39.883,510
